TOWN11CD,Town name,Educational attainment score,Income deprivation score
E35000298,Wednesfield BUASD,-0.17,0.81
E35000300,Waterbeach BUASD,-0.40,0.95
E35000312,Ince-in-Makerfield BUASD,-4.37,0.77
E35000316,Salford BUASD,-2.49,0.79
E35000317,Halifax BUASD,-0.71,0.80
E35000322,Crowthorne BUASD,8.02,0.95
E35000326,Bromsgrove BUASD,-0.02,0.91
E35000334,St Blazey BUASD,-2.26,0.86
E35000338,Gatley BUASD,5.79,0.92
E35000339,Bloxwich BUASD,-6.35,0.72
E35000343,Pickering BUASD,5.07,0.90
E35000347,Woburn Sands BUASD,3.96,0.96
E35000348,Heathfield BUASD,1.54,0.94
E35000354,Euxton BUASD,6.90,0.94
E35000355,Weston BUASD,-2.82,0.87
E35000357,Kingswinford BUASD,2.38,0.89
E35000358,Uckfield BUASD,3.93,0.94
E35000359,Wells BUASD,-1.36,0.90
E35000360,Hetton-le-Hole BUASD,-0.57,0.78
E35000362,Trowbridge BUASD,-1.98,0.89
E35000363,Redhill BUASD,-0.50,0.92
E35000364,Addlestone BUASD,2.41,0.92
E35000368,Haydock BUASD,-0.14,0.85
E35000378,Coleford BUASD,-6.36,0.85
E35000380,Smethwick BUASD,-1.85,0.75
E35000381,Sutton in Ashfield BUASD,-3.76,0.83
E35000382,Kidlington BUASD,-1.34,0.94
E35000386,Chigwell BUASD,2.11,0.92
E35000387,Ossett BUASD,4.08,0.90
E35000388,Mansfield Woodhouse BUASD,-2.19,0.85
E35000390,Southend-on-Sea BUASD,-1.01,0.86
E35000397,Brierley Hill BUASD,-3.30,0.83
E35000398,Wallasey BUASD,-1.25,0.79
E35000402,Harwich BUASD,-2.80,0.83
E35000403,Barrow upon Soar BUASD,0.17,0.94
E35000404,Kendal BUASD,1.89,0.92
E35000405,South Shields BUASD,-2.00,0.78
E35000414,Corsham BUASD,1.63,0.91
E35000417,Mirfield BUASD,4.46,0.91
E35000418,Coppull BUASD,-1.79,0.88
E35000419,Norwich BUASD,-4.02,0.86
E35000422,Higham Ferrers BUASD,-4.17,0.93
E35000424,Norton-on-Derwent BUASD,-1.47,0.90
E35000427,Stourbridge BUASD,3.18,0.88
E35000429,Westhoughton BUASD,0.94,0.89
