"sampleID","patient","type","A1BG"
"TCGA-69-7980-01A","TCGA-69-7980","tumor",154.721
"TCGA-69-8253-01A","TCGA-69-8253","tumor",25.434
"TCGA-69-8254-01A","TCGA-69-8254","tumor",38.6343
"TCGA-69-8255-01A","TCGA-69-8255","tumor",75.0347
"TCGA-69-8453-01A","TCGA-69-8453","tumor",73.5867
"TCGA-69-A59K-01A","TCGA-69-A59K","tumor",214.1943
"TCGA-71-6725-01A","TCGA-71-6725","tumor",142.8672
"TCGA-71-8520-01A","TCGA-71-8520","tumor",44.7075
"TCGA-73-4658-01A","TCGA-73-4658","tumor",334.3901
"TCGA-73-4659-01A","TCGA-73-4659","tumor",44.2722
"TCGA-73-4662-01A","TCGA-73-4662","tumor",52.4058
"TCGA-73-4666-01A","TCGA-73-4666","tumor",29.4209
"TCGA-73-4668-01A","TCGA-73-4668","tumor",169.2915
"TCGA-73-4670-01A","TCGA-73-4670","tumor",59.5763
"TCGA-73-4675-01A","TCGA-73-4675","tumor",74.2565
"TCGA-73-4676-01A","TCGA-73-4676","tumor",33.6464
"TCGA-73-4677-01A","TCGA-73-4677","tumor",92.918
"TCGA-73-7498-01A","TCGA-73-7498","tumor",37.607
"TCGA-73-7499-01A","TCGA-73-7499","tumor",191.1155
"TCGA-73-A9RS-01A","TCGA-73-A9RS","tumor",190.8891
"TCGA-75-5122-01A","TCGA-75-5122","tumor",71.4872
"TCGA-75-5125-01A","TCGA-75-5125","tumor",23.4691
"TCGA-75-5126-01A","TCGA-75-5126","tumor",59.9841
"TCGA-75-5146-01A","TCGA-75-5146","tumor",70.815
"TCGA-75-5147-01A","TCGA-75-5147","tumor",242.1852
"TCGA-75-6203-01A","TCGA-75-6203","tumor",61.2105
"TCGA-75-6205-01A","TCGA-75-6205","tumor",50.0593
"TCGA-75-6206-01A","TCGA-75-6206","tumor",18.2819
"TCGA-75-6207-01A","TCGA-75-6207","tumor",25.2484
"TCGA-75-6211-01A","TCGA-75-6211","tumor",57.5477
"TCGA-75-6212-01A","TCGA-75-6212","tumor",86.3238
"TCGA-75-6214-01A","TCGA-75-6214","tumor",81.5732
"TCGA-75-7025-01A","TCGA-75-7025","tumor",45.2156
"TCGA-75-7027-01A","TCGA-75-7027","tumor",37.7591
"TCGA-75-7030-01A","TCGA-75-7030","tumor",113.0312
