"sampleID","patient","type","A1CF"
"TCGA-86-8278-01A","TCGA-86-8278","tumor",0.2593
"TCGA-86-8279-01A","TCGA-86-8279","tumor",0
"TCGA-86-8280-01A","TCGA-86-8280","tumor",0
"TCGA-86-8281-01A","TCGA-86-8281","tumor",0
"TCGA-86-8358-01A","TCGA-86-8358","tumor",12.5992
"TCGA-86-8359-01A","TCGA-86-8359","tumor",0
"TCGA-86-8585-01A","TCGA-86-8585","tumor",0
"TCGA-86-8668-01A","TCGA-86-8668","tumor",0
"TCGA-86-8669-01A","TCGA-86-8669","tumor",0.6301
"TCGA-86-8671-01A","TCGA-86-8671","tumor",0
"TCGA-86-8672-01A","TCGA-86-8672","tumor",0
"TCGA-86-8673-01A","TCGA-86-8673","tumor",0
"TCGA-86-8674-01A","TCGA-86-8674","tumor",0
"TCGA-86-A456-01A","TCGA-86-A456","tumor",0
"TCGA-86-A4D0-01A","TCGA-86-A4D0","tumor",60.0279
"TCGA-86-A4JF-01A","TCGA-86-A4JF","tumor",0
"TCGA-86-A4P7-01A","TCGA-86-A4P7","tumor",0
"TCGA-86-A4P8-01A","TCGA-86-A4P8","tumor",0
"TCGA-91-6828-01A","TCGA-91-6828","tumor",0
"TCGA-91-6829-01A","TCGA-91-6829","tumor",0
"TCGA-91-6830-01A","TCGA-91-6830","tumor",0.7663
"TCGA-91-6831-01A","TCGA-91-6831","tumor",0
"TCGA-91-6835-01A","TCGA-91-6835","tumor",0
"TCGA-91-6836-01A","TCGA-91-6836","tumor",0.4411
"TCGA-91-6840-01A","TCGA-91-6840","tumor",0
"TCGA-91-6847-01A","TCGA-91-6847","tumor",0.3427
"TCGA-91-6848-01A","TCGA-91-6848","tumor",0
"TCGA-91-6849-01A","TCGA-91-6849","tumor",0
"TCGA-91-7771-01A","TCGA-91-7771","tumor",43.4286
"TCGA-91-8496-01A","TCGA-91-8496","tumor",0
"TCGA-91-8497-01A","TCGA-91-8497","tumor",16.5481
"TCGA-91-8499-01A","TCGA-91-8499","tumor",0
"TCGA-91-A4BC-01A","TCGA-91-A4BC","tumor",1.9582
"TCGA-91-A4BD-01A","TCGA-91-A4BD","tumor",1.7534
"TCGA-93-7347-01A","TCGA-93-7347","tumor",0.3885
"TCGA-93-7348-01A","TCGA-93-7348","tumor",0
"TCGA-93-8067-01A","TCGA-93-8067","tumor",35.8898
"TCGA-93-A4JN-01A","TCGA-93-A4JN","tumor",0.8313
"TCGA-93-A4JO-01A","TCGA-93-A4JO","tumor",0
"TCGA-93-A4JP-01A","TCGA-93-A4JP","tumor",0
"TCGA-93-A4JQ-01A","TCGA-93-A4JQ","tumor",0
"TCGA-95-7039-01A","TCGA-95-7039","tumor",0
"TCGA-95-7043-01A","TCGA-95-7043","tumor",0
"TCGA-95-7562-01A","TCGA-95-7562","tumor",0
"TCGA-95-7567-01A","TCGA-95-7567","tumor",0
"TCGA-95-7944-01A","TCGA-95-7944","tumor",0
"TCGA-95-7947-01A","TCGA-95-7947","tumor",0.3056
"TCGA-95-7948-01A","TCGA-95-7948","tumor",0
"TCGA-95-8039-01A","TCGA-95-8039","tumor",0
"TCGA-95-8494-01A","TCGA-95-8494","tumor",0
"TCGA-95-A4VK-01A","TCGA-95-A4VK","tumor",0
"TCGA-95-A4VN-01A","TCGA-95-A4VN","tumor",0
"TCGA-95-A4VP-01A","TCGA-95-A4VP","tumor",1.0484
"TCGA-97-7546-01A","TCGA-97-7546","tumor",0
"TCGA-97-7547-01A","TCGA-97-7547","tumor",0
"TCGA-97-7552-01A","TCGA-97-7552","tumor",41.388
"TCGA-97-7553-01A","TCGA-97-7553","tumor",0.8929
"TCGA-97-7554-01A","TCGA-97-7554","tumor",0.5003
